title,artist,genre,released_year,song_key,bpm,camelot,Instrumental_type,ranked
Cool It Now,New Edition,Classic Rock,2005,B-Flat Minor,116,3A,No
Feel Good,Felix Jaehn,Dance Pop,2018,E Major,126,12B,No
Outnumbered,Dermot Kennedy,Pop,2019,C Major,157,8B,No
I Feel The Love,Tritonal,Dance Pop,2016,C Major,125,8B,No
I Know,Pierce Fulton,Dance Pop,2019,A-Flat Major,128,4B,No
Enjoy The Ride,Krewella,Edm,2013,D-Flat Major,128,3B,No
Sing Me To Sleep,Alan Walker,Edm/Pop,2016,E Minor,176,9A,No
I Could Get Used To This,Becky Hill,Dance Pop,2019,G Major,117,9B,No
Daylight,Maroon 5,Pop,2012,D Major,120,10B,No
Monopoly,Ariana Grande,Edm/Pop,2019,C Major,144,8B,No
Another Life,Afrojack,Edm/Pop,2017,G Minor,145,6A,No
The Night,Hogland,Edm/Pop,2015,F-Sharp Major,102,2B,No
Giant <Robin Schulz Remix>,Calvin Harris,Edm,2019,D-Flat Minor,126,12A,No
All My Friends,Snakehips,Dance Pop,2015,C Major,95,8B,No
Some Nights,Fun,Pop,2012,C Major,108,8B,No
Criminal,Britney Spears,Pop,2011,G Major,108,9B,No
Turn Me On,David Guetta,Pop,2012,A-Flat Major,128,4B,No
Coming Home,Too Many Left Hands,Dance Pop,2019,F Minor,116,4A,No
Better,Meghan Trainor,Edm/Pop,2016,A Minor,80,8A,No
In My Head,Jason Derulo,Pop,2010,C Minor,110,5A,No
Darkside,Alan Walker,Dance Pop,2018,E Minor,170,9A,No
I Feel So Bad,Kungs,Edm/Pop,2016,A Minor,123,8A,No
Misery Business,Paramore,Pop,2007,D-Flat Major,173,3B,No
Never Let You Go,Kygo,Tropical,2017,B-Flat Major,123,6B,No
I'M In Control,Aluna George,Pop,2016,B Minor,104,10A,No
Rattle,Bingo Players,Edm/Pop,2011,G Major,128,9B,No
Rap God,Eminem,Rap,2013,G Major,148,9B,No
Sos,Jonas Brothers,Pop,2007,G Major,137,9B,No
Breathe,Seeb,Tropical,2016,G Minor,120,6A,No
Hymn For The Weekend <Seeb Remix>,Coldplay,Edm/Pop,2016,C Minor,102,5A,No
Que Tire Pa Lante,Daddy Yankee,Pop,2019,G Major,94,9B,No
Something Just Like This,The Chainsmokers,Dance Pop,2017,B Minor,103,10A,No
Rude,Magic,Pop,2014,D-Flat Major,144,3B,No
Woman Like Me,Little Mix,Edm/Pop,2018,F Minor,150,4A,No
You Need To Calm Down,Taylor Swift,Pop,2019,D Major,85,10B,No
Waves <Robin Schulz Remix>,Mr. Probz,Edm/Pop,2014,D-Flat Major,120,3B,No
Like I Do,David Guetta,Dance Pop,2018,C Minor,128,5A,No
How Deep Is Your Love <Calvin Harris & R3Hab Remix>,Calvin Harris,Edm,2015,B Minor,128,10A,No
Rude <Zedd Remix>,Magic,Edm/Pop,2014,D-Flat Major,130,3B,No
Acapella,Karmin,Pop,2014,D Major,170,10B,No
I Knew You Were Trouble,Taylor Swift,Pop,2012,F-Sharp Major,77,2B,No
I Know,Big Sean,Hip Hop,2015,D-Flat Major,120,3B,No
Gotta Find You,Joe Jonas,Pop,2008,B Major,82,1B,No
I Love It <Tiesto Club Life Remix>,Icona Pop,Edm,2013,A-Flat Minor,128,1A,No
Shot Me Down,David Guetta,Dance/Edm,2014,F Minor,192,4A,No
Who'S That Chick,David Guetta,Pop,2010,B Minor,128,10A,No
Five Minutes To Midnight,Boys Like Girls,Pop,2006,D Major,164,10B,No
Dancing With A Stranger,Sam Smith,Dance Pop,2019,A-Flat Major,103,4B,No
Someone Like You,Adele,Pop,2011,A Major,135,11B,No
Pretty Girls,Britney Spears,Pop,2015,G Minor,103,6A,No
Lie,Shallou,Dance Pop,2018,D Minor,108,7A,No
I Need A Dollar,Aloe Blacc,Edm/Pop,2010,F-Sharp Minor,95,11A,No
The Way I Are,Bebe Rexha,Hip Hop/Pop,2017,D Major,186,10B,No
Kernkraft 400,Zombie Nation,Dance Pop,2006,A-Flat Minor,140,1A,No
Summertime Sadness <Cedric Gervais Remix>,Lana Del Rey,Hip Hop/Pop,2013,D-Flat Minor,126,12A,No
Samurai <Tiesto Remix>,R3Hab,Edm,2014,G Major,128,9B,No
Go To Sleep <Wahlstedt Remix>,John De Sohn,Dance/Edm,2018,G Major,126,9B,No
Good Things Fall Apart,Illenium & Jon Bellion,Dance Pop,2019,D Major,144,10B,No
Show Me Love <Edx Remix>,Sam Feldt,Edm/Pop,2015,C Major,121,8B,No
Goodnight Goodnight,Maroon 5,Edm/Pop,2007,D Major,95,10B,No
Afterlife,Hailee Steinfeld,Pop,2019,D-Flat Minor,122,12A,No
Post To Be,Omarion,Pop,2014,B-Flat Minor,97,3A,No
We Could Be Beautiful,Wrabel,Edm/Pop,2017,F Minor,107,4A,No
Fast Car,Jonas Blue,Edm/Pop,2015,A Major,114,11B,No
I'M Just A Kid,Simple Plan,Pop,2018,D-Flat Major,110,3B,No
Good Life,One Republic,Pop,2009,F-Sharp Major,95,2B,No
Loco Contigo,Dj Snake,Pop,2019,B Major,192,1B,No
Good Riddance <Time Of Your Life>,Green Day,Pop,1997,G Major,95,9B,No
Higher Love,Kygo,Dance Pop,2019,A-Flat Major,104,4B,No
7 Rings,Ariana Grande,Pop,2019,D-Flat Minor,140,12A,No
Love Me Now,John Legend,Pop,2016,A-Flat Major,124,4B,No
One Thing,San Holo,Edm/Pop,2017,D-Flat Minor,152,12A,No
Waiting For Love,Avicii,Dance Pop,2015,F-Sharp Minor,128,11A,No
Successful,Ariana Grande,Pop,2018,C Minor,114,5A,No
I Wanna Love You,Akon,Hip Hop/Pop,2006,C Major,100,8B,No
Hotline Bling,Drake,Edm/Pop,2015,D Major,135,10B,No
